label,precision,recall,f1-score,support
A,0.9762147468569486,0.9748897183576518,0.9755517826825127,5894.0
B,0.9932875179798626,0.9928115015974441,0.9930494527442678,6260.0
C,0.9541652143604044,0.979953463397172,0.9668874172185431,5587.0
D,0.9911783238815375,0.9826643760737155,0.9869029880009411,6403.0
E,0.9868724498846905,0.9759649122807017,0.9813883743494751,5700.0
F,0.9942805147536722,0.9919595383218779,0.9931186704752012,7711.0
G,0.9718662542347916,0.9799495024506164,0.9758911403638515,6733.0
H,0.9717070103740962,0.972318339100346,0.9720125786163522,6358.0
I,0.9757281553398058,0.9680526569272756,0.9718752518333468,6229.0
J,0.9784257542558571,0.9726876675603218,0.9755482732543483,5968.0
K,0.9915181138585394,0.9895265423242467,0.990521327014218,6970.0
L,0.9943502824858758,0.9852160183723266,0.9897620764239365,6967.0
M,0.8894853757867457,0.9514851485148514,0.9194412552621508,5050.0
N,0.9015223596574691,0.9073497725640411,0.9044266793938671,4177.0
O,0.962400944191536,0.9668021680216802,0.9645965356991973,5904.0
P,0.9886983632112237,0.9720306513409962,0.9802936630602782,5220.0
Q,0.9708015959376134,0.9773598685411722,0.9740696933854972,5477.0
R,0.9719058466211086,0.9770992366412213,0.9744956223829463,6550.0
S,0.9642914589030079,0.9736884846516161,0.9689671892678197,6157.0
T,0.9744155271283634,0.957105719237435,0.9656830601092896,2308.0
U,0.9814102564102564,0.9694475225581763,0.9753922115154894,6317.0
V,0.9874843554443054,0.9857879119162892,0.9866354044548652,6403.0
W,0.9909332499609191,0.9794499381953028,0.985158131944984,6472.0
X,0.9700393768190378,0.9645897173987061,0.9673068715322236,5874.0
Y,0.9923089248517866,0.9794401391744425,0.9858325374084687,6323.0
Z,0.9789079775472019,0.9734438430311232,0.9761682639301162,5912.0
accuracy,0.9749231881438641,0.9749231881438641,0.9749231881438641,0.9749231881438641
macro avg,0.9732384596437176,0.9731182445596444,0.9731144789355457,154924.0
weighted avg,0.9752119280085597,0.9749231881438641,0.9750119121773876,154924.0
