true_label,predicted_label,count
N,M,279
M,N,129
O,C,76
U,R,72
H,G,70
G,H,52
J,I,45
P,Q,41
E,S,41
V,U,41
X,S,39
Q,N,38
Y,A,37
W,V,36
S,M,33
I,J,32
C,O,31
R,U,31
A,M,29
D,O,28
E,M,26
X,M,24
C,Q,24
H,C,24
Q,P,23
N,Q,23
S,N,21
W,U,21
I,S,21
U,V,21
I,M,20
R,N,20
X,Z,20
P,N,20
U,X,19
J,H,19
X,R,19
A,O,19
O,N,18
Z,G,18
I,X,18
T,N,18
L,M,17
Z,M,17
Z,X,17
S,X,17
L,R,17
U,W,17
Z,S,16
P,C,16
X,N,16
C,H,16
W,M,15
Z,N,15
D,C,15
L,I,15
I,E,15
J,C,15
E,N,14
J,G,14
M,S,14
K,M,13
K,R,13
M,A,13
N,O,13
R,K,13
R,S,13
Y,M,13
Q,C,13
A,C,13
B,M,12
N,R,12
S,G,12
G,J,12
T,S,12
Q,O,12
K,G,12
S,J,12
C,N,12
V,K,12
Z,A,12
X,C,12
O,Q,12
O,M,12
G,M,12
W,F,11
H,J,11
H,O,11
I,N,11
S,Z,11
A,Z,11
L,Z,11
A,X,11
S,H,11
A,N,11
R,X,11
K,V,11
Z,I,11
O,H,11
D,I,10
I,K,10
I,D,10
J,O,10
M,E,10
J,Z,10
Q,H,10
P,M,10
O,D,10
I,Z,10
N,S,10
Z,J,10
X,O,10
E,X,10
X,I,10
Y,C,10
A,Y,9
S,A,9
M,C,9
H,X,9
I,L,9
F,M,9
J,S,9
N,A,9
Q,M,9
P,H,9
P,G,9
Y,Z,9
A,I,9
H,Q,9
T,X,9
H,M,9
G,C,9
H,N,8
A,S,8
Y,I,8
X,T,8
J,N,8
Y,N,8
R,G,8
W,B,8
T,A,8
Y,O,8
P,O,8
T,M,8
W,X,8
X,G,8
I,A,8
X,A,8
O,F,8
L,N,8
I,C,8
V,W,7
Y,J,7
L,O,7
E,O,7
R,M,7
G,N,7
E,T,7
Y,X,7
Y,S,7
F,C,7
J,E,7
A,R,7
S,E,7
U,O,7
U,K,7
F,O,7
I,O,7
S,I,7
W,O,7
M,Z,7
O,W,6
W,N,6
G,O,6
O,Z,6
Z,C,6
M,O,6
K,X,6
U,M,6
C,J,6
E,C,6
M,H,6
T,O,6
U,N,6
T,C,6
R,T,6
J,A,6
X,H,6
X,E,6
D,F,6
M,T,6
V,R,6
R,V,6
U,S,6
F,N,6
N,H,6
D,H,6
N,B,5
C,P,5
M,X,5
M,Y,5
M,W,5
D,Z,5
O,A,5
T,R,5
Z,T,5
X,J,5
B,C,5
U,H,5
U,G,5
U,D,5
T,Q,5
P,A,5
B,N,5
S,O,5
R,W,5
R,B,5
Q,R,5
P,J,5
M,Q,5
Z,Y,5
D,M,5
J,M,5
H,Z,5
G,Z,5
G,S,5
G,Q,5
L,A,5
L,E,5
D,N,5
F,W,5
D,U,5
D,X,5
I,R,5
M,J,5
Z,H,4
X,D,4
O,I,4
T,H,4
W,R,4
B,W,4
M,G,4
O,S,4
O,U,4
W,I,4
I,G,4
T,P,4
P,B,4
E,A,4
M,P,4
P,X,4
P,T,4
U,Z,4
D,Q,4
U,I,4
H,R,4
U,F,4
N,D,4
E,B,4
M,B,4
A,Q,4
N,I,4
E,I,4
Z,O,4
E,Z,4
Y,L,4
N,P,4
C,M,4
F,G,4
I,W,4
N,T,4
F,Q,4
B,Q,4
X,L,4
P,S,4
I,V,3
R,Q,3
M,L,3
T,I,3
J,Q,3
H,Y,3
S,Y,3
T,E,3
B,R,3
J,B,3
S,C,3
D,G,3
