outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,Random Forest,322.42376643419266,6.737129799772477,2.5057358741760254,0.2001928924223667,20,log2,1,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9648151112363326,0.9635816176212233,0.9675981486146513,0.9642442875913577,0.9650597912658913,0.0015291476313487303,15
4,Random Forest,509.56874346733093,5.798263199336187,3.847507059574127,0.33763930850685286,20,log2,1,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9651606312505637,0.9635675887120965,0.9673157659409163,0.9645726795663414,0.9651541663674794,0.0013718518567117505,14
4,Random Forest,642.7122384905815,7.450859663250078,5.0537309646606445,0.5274803234733704,20,log2,1,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9651209273901854,0.9636619403349838,0.9675426105130277,0.9647940601017967,0.9652798845849984,0.001414122080991642,13
4,Random Forest,314.27974051237106,4.4462400019828525,2.3019298911094666,0.031954118689683675,20,log2,2,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9634164262895228,0.9615860565838464,0.9661393336789742,0.9629460749243671,0.9635219728691777,0.0016538703089861114,36
4,Random Forest,510.51125836372375,7.625533053552763,3.550261974334717,0.06482650830082826,20,log2,2,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9634042245378954,0.9617127583155687,0.9660726945254154,0.9631999281786425,0.9635974013893804,0.0015711665947769982,34
4,Random Forest,629.3275153040886,8.118465313441547,4.769649565219879,0.5933438590586503,20,log2,2,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9635697325665861,0.9617649795545538,0.9659836804687765,0.9629687163240734,0.9635717772284974,0.0015366751210099546,35
4,Random Forest,482.95869648456573,6.289669213909592,2.5053902864456177,0.12049538356537698,20,sqrt,1,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9647418032129834,0.9639348167346753,0.9673636219297221,0.9640921598202451,0.9650331004244065,0.0013791102961520842,17
4,Random Forest,765.9447296261787,14.096184672354324,3.832543969154358,0.2632731636343357,20,sqrt,1,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9652059558313273,0.9633891614525264,0.9677614710305942,0.963882036085236,0.965059656099921,0.0016954755082998606,16
4,Random Forest,959.5445274710655,13.67985260194889,4.544408917427063,0.29813777940392894,20,sqrt,1,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9652650096597751,0.9634285190580479,0.9672769073163282,0.9636008571300816,0.9648928232910582,0.0015520746422552248,18
4,Random Forest,473.5612046122551,7.061010912612194,2.342826187610626,0.2286608225307711,20,sqrt,2,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9632583505855905,0.9619639838875731,0.9662729490396984,0.9631289288207955,0.9636560530834144,0.001592738983210017,33
4,Random Forest,749.826975941658,8.404327797925031,3.7019641995429993,0.3028412201996308,20,sqrt,2,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9634564554941485,0.9620481434563507,0.9662540964519182,0.9630850778132399,0.9637109433039143,0.001556358162907563,31
4,Random Forest,939.6266075372696,13.592085933207485,4.217911005020142,0.1040753766891054,20,sqrt,2,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9634306458274294,0.9620095888299371,0.966093784216178,0.9631324640675073,0.963666620735263,0.0014981559332384318,32
4,Random Forest,334.68564492464066,7.236359774801993,2.7506015300750732,0.3241480457512294,30,log2,1,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9659258071010731,0.9641007597987291,0.9675964904988684,0.9644448376070044,0.9655169737514188,0.0013826308692729391,5
4,Random Forest,520.4185529351234,1.8106681670299647,3.9825443625450134,0.3919353194376927,30,log2,1,800,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9657859931720203,0.9639842708080454,0.9677651372090053,0.9646195874691934,0.965538747164566,0.0014386794732287802,3
4,Random Forest,665.4171198606491,11.704065452660371,5.100046277046204,0.7250900101835509,30,log2,1,1000,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9654143017115493,0.9640678746499537,0.967546095895502,0.9644212098979144,0.9653623705387299,0.0013539623553111312,11
4,Random Forest,329.7901613712311,7.362926954196872,2.865018367767334,0.2986573618947204,30,log2,2,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9640054512343562,0.9619708667091617,0.9662347296348199,0.9631228057561452,0.9638334633336207,0.0015628467667324324,29
4,Random Forest,516.6203526854515,7.672665377776493,3.812348961830139,0.2814780224041003,30,log2,2,800,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9637610459044248,0.962097876109791,0.9661534709236772,0.9637880782196848,0.9639501177893945,0.0014446080155055387,22
4,Random Forest,648.4928116798401,8.304245417835505,4.517143249511719,0.3711896134848091,30,log2,2,1000,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9636422442272106,0.9622343277804087,0.9661972377203191,0.9635690796577008,0.9639107223464098,0.0014341592940882142,23
4,Random Forest,493.0892644524574,6.881200997246257,2.3567757606506348,0.1760576424132719,30,sqrt,1,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9653520788900599,0.9642742718353318,0.9677099985637299,0.9648002357105554,0.9655341462499192,0.0013127633102888935,4
4,Random Forest,784.6011883020401,15.924619231832244,3.782360315322876,0.30871226706401295,30,sqrt,1,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9655996135661365,0.9643337028333612,0.9677010242401471,0.9645637016649021,0.9655495105761368,0.001330557123246968,1
4,Random Forest,983.4131414890289,10.942020234037859,4.902265548706055,0.350816031196412,30,sqrt,1,1000,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9653621440438276,0.9639582054987977,0.9674601688194657,0.9647498167034053,0.965382583766374,0.0012986555586653353,9
4,Random Forest,485.2381543517113,7.302529403428245,2.47902113199234,0.3069224489291113,30,sqrt,2,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.963785365863214,0.9626964628951445,0.9661169287581927,0.9632369524340656,0.9639589274876542,0.0013040473483034263,20
4,Random Forest,770.52162951231,12.590435703614814,3.600785553455353,0.2574807250378036,30,sqrt,2,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9637320736413673,0.9623378895258489,0.9665521623464949,0.9629145241983097,0.9638841624280052,0.0016180630973877336,26
