outer_fold,model,inner_best_f1_macro_pct,best_params,accuracy_pct,precision_macro_pct,recall_macro_pct,f1_macro_pct
1,KNN,96.52794936694337,"{""model__n_neighbors"": 3, ""model__p"": 1, ""model__weights"": ""distance""}",96.99209294820075,96.81395090910824,96.79370505285479,96.79529033147962
1,Decision Tree,93.0264704526764,"{""model__criterion"": ""entropy"", ""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2}",93.65176698402453,93.21431925129188,93.15123078909757,93.16504611257861
1,Random Forest,96.57695284369169,"{""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800}",97.05664030982733,96.90081157465183,96.86393144585736,96.86866978398493
1,HistGradientBoosting,97.0520215623802,"{""model__early_stopping"": false, ""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 800, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 40}",97.57301920284009,97.46219154735923,97.43362052537546,97.43975974952998
1,Approx RBF SVM,95.80769332518632,"{""model__linear_svm__C"": 10.0, ""model__rbf_features__gamma"": 0.003, ""model__rbf_features__n_components"": 500}",96.26270776182024,95.93937912018102,96.05421684405871,95.98615711677654
2,KNN,96.509363592248,"{""model__n_neighbors"": 3, ""model__p"": 1, ""model__weights"": ""distance""}",97.13409714377926,96.96619527526083,96.88668742814686,96.92036632929941
2,Decision Tree,92.92316332295334,"{""model__criterion"": ""entropy"", ""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",93.74858802646442,93.30113322629003,93.23477765705816,93.26335183833898
2,Random Forest,96.63719824235508,"{""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 1000}",97.03727610133936,96.83773562586093,96.71026564294247,96.76217197586536
2,HistGradientBoosting,97.08604200506919,"{""model__early_stopping"": false, ""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 800, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 40}",97.42133290301759,97.25936973076615,97.15688638841435,97.1996873201542
2,Approx RBF SVM,95.84966412151141,"{""model__linear_svm__C"": 10.0, ""model__rbf_features__gamma"": 0.01, ""model__rbf_features__n_components"": 500}",96.51444247216395,96.14911866486,96.24468227022138,96.18619081630052
3,KNN,96.5395278106702,"{""model__n_neighbors"": 3, ""model__p"": 1, ""model__weights"": ""distance""}",97.04373083750201,96.78098350959077,96.82634375497085,96.79673922367502
