feature,importance_mean
index_middle_tip_distance,0.07240327061194352
thumb_angle_2,0.0028770915574171663
wrist_to_index_tip,0.0014099660585514262
lm_24,0.0007415822595654431
ring_pinky_tip_distance,0.0007305610003632279
thumb_angle_1,0.0006044555810320595
middle_ring_tip_distance,0.0004739254183393493
lm_25,0.0003345999651034881
pinky_angle_2,0.0002601111669738865
thumb_middle_tip_distance,0.00024167654264495297
thumb_index_tip_distance,0.0001784077848566712
lm_57,0.0
lm_55,0.0
wrist_to_thumb_tip,0.0
lm_51,0.0
lm_52,0.0
lm_53,0.0
lm_54,0.0
thumb_ring_tip_distance,0.0
thumb_pinky_tip_distance,0.0
lm_58,0.0
lm_62,0.0
lm_56,0.0
lm_60,0.0
lm_59,0.0
lm_61,0.0
lm_0,0.0
lm_49,0.0
thumb_vector_x,0.0
pinky_vector_x,0.0
ring_vector_y,0.0
ring_vector_x,0.0
middle_vector_y,0.0
middle_vector_x,0.0
index_vector_y,0.0
index_vector_x,0.0
thumb_vector_y,0.0
pinky_angle_1,0.0
wrist_to_middle_tip,0.0
ring_angle_2,0.0
ring_angle_1,0.0
middle_angle_2,0.0
middle_angle_1,0.0
index_angle_2,0.0
index_angle_1,0.0
wrist_to_pinky_tip,0.0
wrist_to_ring_tip,0.0
lm_50,0.0
lm_47,0.0
lm_48,0.0
lm_12,0.0
lm_21,0.0
lm_20,0.0
lm_19,0.0
lm_18,0.0
lm_17,0.0
lm_16,0.0
lm_15,0.0
lm_14,0.0
lm_13,0.0
lm_11,0.0
lm_1,0.0
lm_10,0.0
lm_9,0.0
lm_8,0.0
lm_7,0.0
lm_6,0.0
lm_5,0.0
lm_4,0.0
lm_3,0.0
lm_2,0.0
lm_22,0.0
lm_23,0.0
lm_26,0.0
lm_27,0.0
lm_46,0.0
lm_45,0.0
lm_44,0.0
lm_43,0.0
lm_42,0.0
lm_41,0.0
lm_40,0.0
lm_39,0.0
lm_38,0.0
lm_37,0.0
lm_36,0.0
lm_35,0.0
lm_34,0.0
lm_33,0.0
lm_32,0.0
lm_31,0.0
lm_30,0.0
lm_29,0.0
lm_28,0.0
pinky_vector_y,0.0
