outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__linear_svm__C,param_model__rbf_features__gamma,param_model__rbf_features__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Approx RBF SVM,190.92787915468216,48.83364558488569,1.3014642596244812,0.06710442218371827,0.5,0.0005,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9029360762214018,0.9030310625158557,0.902313502682082,0.9022899399625666,0.9026426453454766,0.0003426753409540106,32
2,Approx RBF SVM,388.9462202191353,60.024925377839885,2.565069079399109,0.09745745860270003,0.5,0.0005,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9039715336613109,0.9044386560694373,0.9038472642577673,0.9029335309857248,0.90379774624356,0.00054550149337118,31
2,Approx RBF SVM,219.08214169740677,34.09674051722927,1.2838121056556702,0.09928964182036407,0.5,0.001,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9159117449218408,0.9151486917504449,0.9142385773802619,0.9150191794286922,0.91507954837031,0.0005933398104397514,28
2,Approx RBF SVM,311.3881927728653,21.115356994778605,2.5292226672172546,0.06005025256626033,0.5,0.001,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9173073889064045,0.917381946918157,0.9169519902805212,0.9161705348299957,0.9169529652337696,0.00048006242108384906,27
2,Approx RBF SVM,210.66094887256622,26.51525861404298,1.277601182460785,0.08230502213839905,0.5,0.003,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9313983195161448,0.9303476248512713,0.9300522985409707,0.9290968167916034,0.9302237649249976,0.0008207211135844977,24
2,Approx RBF SVM,326.3027821779251,37.22756885397046,2.6121490001678467,0.10597233855726979,0.5,0.003,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9363763547391314,0.9349959496886621,0.9346110677525812,0.9331533663152148,0.9347841846238975,0.0011477573704367534,21
2,Approx RBF SVM,201.24451303482056,40.12280821570273,1.2542948126792908,0.01481984938528174,0.5,0.01,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9348185542934839,0.9341249455831371,0.9363905846167389,0.935132007305223,0.9351165229496458,0.0008208964445426187,20
2,Approx RBF SVM,372.26504546403885,59.39496888143057,2.618746340274811,0.07527299644480173,0.5,0.01,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9423727664805117,0.9428589412186906,0.9433210236399355,0.9414233767310389,0.9424940270175441,0.0007032215051959494,13
2,Approx RBF SVM,214.17376345396042,37.120796014147835,1.2961355447769165,0.09577453956115033,1.0,0.0005,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.913002473275979,0.9128788818541924,0.912499213968382,0.9120226644890412,0.9126008083968986,0.0003818479176440073,30
2,Approx RBF SVM,340.5506216287613,51.81400162916801,2.5215041041374207,0.06874174139010426,1.0,0.0005,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9140466730372385,0.9150746977356797,0.9142512964473316,0.9130217621905636,0.9140986073527034,0.0007311564592657111,29
2,Approx RBF SVM,223.25508469343185,38.268440117132066,1.271174669265747,0.0937485288689539,1.0,0.001,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9244533918885457,0.9230660251168382,0.9242144020270022,0.9229702737447698,0.923676023194289,0.00066414113603855,26
2,Approx RBF SVM,396.7583130002022,44.35786067871856,2.6019901037216187,0.08765110170311399,1.0,0.001,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9263515780328881,0.9251408872698299,0.9268519483147438,0.9251025575542009,0.9258617427929157,0.0007609928464879803,25
2,Approx RBF SVM,203.58356469869614,26.79466646142696,1.3758341073989868,0.0943589720706869,1.0,0.003,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9372626338692617,0.9370885003599512,0.9381403888024011,0.9359424122121685,0.9371084838109456,0.0007824181209011658,19
2,Approx RBF SVM,308.8613104224205,19.88763514467374,2.473718762397766,0.026535603629132046,1.0,0.003,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9433812412485376,0.9417319219816075,0.9426275083183954,0.939635064785051,0.9418439340833978,0.001402582634808807,14
2,Approx RBF SVM,210.9798903465271,24.7751730780076,1.2932180166244507,0.07337598892142345,1.0,0.01,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9393816766419747,0.938619678226594,0.941912202885043,0.9393310291405239,0.9398111467235338,0.001249899157680859,15
