outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3,KNN,0.998095691204071,0.0778395632246374,158.9501348733902,14.630673039997207,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.9642808017165331,0.9655181278547827,0.9634490915641275,0.9623226577066911,0.9638926697105337,0.0011677392578146042,2
3,KNN,1.2385204434394836,0.06598693476828935,155.52473652362823,15.490001142080606,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.9653081655247342,0.9671007665358095,0.9647599329459935,0.9644122474202708,0.965395278106702,0.001035168124926779,1
3,KNN,1.4441769123077393,0.06714764942653502,35.15666580200195,7.088607221243908,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.9631428128287953,0.9625965539656876,0.9622738109095137,0.9606465593590895,0.9621649342657714,0.0009300347480297881,5
3,KNN,1.3798528909683228,0.017043190426665415,32.70053958892822,9.824877968837942,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.9641084066994556,0.9638493267222016,0.9636900784479222,0.9623261581305698,0.9634934925000374,0.0006902993972465001,3
3,KNN,1.4280272126197815,0.04989691626955397,155.2807685136795,9.217770028710902,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.9601261105134088,0.9609898791492644,0.9596013989970884,0.9583469099222467,0.959766074645502,0.0009576625019443448,10
3,KNN,1.474072515964508,0.018151869169000166,145.04635399580002,10.985849473924526,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.9637558207502404,0.964464487270275,0.9624827767723615,0.9621530432043718,0.9632140319993122,0.0009377639448766951,4
3,KNN,1.357339859008789,0.05647467945840832,22.965086817741394,0.5788996827100809,5,2,uniform,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.9594240415845848,0.9593978940105222,0.9574154160442769,0.956486299140116,0.958180912694875,0.0012731960945898684,12
3,KNN,1.339371919631958,0.03824998707528424,27.104463756084442,9.31019192436825,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.962264690079064,0.9628576808048457,0.9607526097054416,0.96102180132776,0.9617241954792779,0.0008680811966174244,6
3,KNN,1.3079097867012024,0.009219113767426458,154.59116929769516,14.241726157446898,7,1,uniform,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.9591352068288271,0.9587641477595021,0.9584524819607861,0.9554351686882192,0.9579467513093336,0.0014700658346707845,14
3,KNN,1.4227827191352844,0.09978210865768222,156.50234270095825,14.912254574825782,7,1,distance,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.9619382191214126,0.9625454207610225,0.9618776976935521,0.959352431750123,0.9614284423315276,0.0012266991788814885,7
3,KNN,1.3092135787010193,0.028402238498389302,22.463465452194214,1.563091621833682,7,2,uniform,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.9579186992941698,0.9574461832591972,0.9553520034522751,0.9538167965363262,0.9561334206354921,0.001649842842999756,15
3,KNN,1.307577669620514,0.02891543985638508,27.763543009757996,7.263656176489167,7,2,distance,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.961449047870546,0.9610164557680645,0.9587021349598727,0.9581487898916523,0.9598291071225338,0.0014254417810738674,9
3,KNN,1.278492033481598,0.016460751931598985,140.67736637592316,5.236839652406332,9,1,uniform,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'uniform'}",0.9565253578978391,0.9574868793574505,0.9560262763336318,0.9543094424636498,0.9560869890131429,0.001152737830148689,17
3,KNN,1.333562433719635,0.029328508625552585,134.31073600053787,5.598279345785131,9,1,distance,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}",0.9609695155700158,0.9614130474454765,0.9609971763143386,0.958628514404947,0.9605020634336945,0.001095870213252245,8
3,KNN,1.281872808933258,0.015556642201994719,22.47378557920456,0.42210919130440394,9,2,uniform,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'uniform'}",0.9548018678300603,0.9545206398310189,0.9527926605263358,0.9510449574734031,0.9532900314152045,0.0015072973515208193,19
3,KNN,1.3304164409637451,0.03125092231678981,27.47675985097885,6.397078225781435,9,2,distance,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}",0.9594445395148473,0.95847466619558,0.9581588863903439,0.9559757001745074,0.9580134480688196,0.0012682974486972363,13
3,KNN,1.357138752937317,0.03589510743645958,120.44815844297409,2.666208302828998,11,1,uniform,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.9547966381552192,0.9547120987049915,0.9543308041867676,0.9521730508083126,0.9540031479638227,0.00107108030001104,18
3,KNN,1.3976635336875916,0.12060779389120743,117.83057713508606,0.9631761748304395,11,1,distance,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.9596012152623572,0.9593276829520434,0.9588599694053316,0.9570802431696264,0.9587172776973396,0.0009816036830455326,11
3,KNN,1.3855218887329102,0.1339507448740677,26.94046664237976,3.993919539559013,11,2,uniform,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'uniform'}",0.9524514695607825,0.9527853741368423,0.9519077706696741,0.9498487244855116,0.9517483347132027,0.0011405906607355218,20
3,KNN,1.3106918931007385,0.014191150635617069,24.496912598609924,0.8157374618669034,11,2,distance,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.9567792615267081,0.9566954215985716,0.9563418118833548,0.9546565424939304,0.9561182593756412,0.0008597429908519758,16
