outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,Random Forest,324.1043767929077,7.718758727779535,2.6684221029281616,0.21500935730752171,20,log2,1,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9657697620865525,0.9645281652494724,0.963757493481103,0.9666654723982728,0.9651802233038501,0.0011183537794015323,18
1,Random Forest,680.314628303051,14.18658323313231,8.807255983352661,1.6146974694828122,20,log2,1,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9653914019369508,0.9649402664679513,0.9639059337374326,0.9668682648227039,0.9652764667412597,0.0010651786903672646,15
1,Random Forest,955.9538514018059,23.144941068401813,11.55212950706482,1.4502006726202674,20,log2,1,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9655326006650533,0.9650734367777963,0.9641317177678752,0.9670879930079846,0.9654564370546774,0.0010688014461576222,12
1,Random Forest,319.25834280252457,7.984132631790042,2.564216434955597,0.15424648115126027,20,log2,2,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9639628909572389,0.9632456513816972,0.9623880362974726,0.9649820650456571,0.9636446609205165,0.00095239621554325,36
1,Random Forest,680.6256231069565,12.533733643385037,8.63341897726059,1.264953829302035,20,log2,2,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9634729014029376,0.963998294018189,0.9625375821055542,0.9653875993551478,0.9638490942204572,0.001030878714083694,33
1,Random Forest,932.8308017253876,13.828808143656577,9.932231664657593,0.7703144860769023,20,log2,2,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9633496584525791,0.9636741360227433,0.9622426930879201,0.9655782439116692,0.963711182868728,0.0012015044264041715,35
1,Random Forest,610.9367718696594,13.848259907717837,5.496135592460632,0.786558687869441,20,sqrt,1,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9656999852576573,0.964995574944666,0.9639720975618218,0.9669807830639896,0.9654121102070337,0.0010943884845071774,13
1,Random Forest,1571.681948542595,17.42975294711329,9.489336729049683,0.5290113321122558,20,sqrt,1,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9652633564032006,0.9646033655852779,0.964166047439297,0.967064225738238,0.9652742487915034,0.001104799826596631,16
1,Random Forest,1955.4823962450027,10.973275535908982,10.45445466041565,0.7345469612863732,20,sqrt,1,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9652027798283905,0.9648362593584052,0.9640815324804078,0.9669562407928868,0.9652692031150226,0.0010545745602209156,17
1,Random Forest,979.7275189757347,5.612036592637547,5.662184655666351,1.1709311206349813,20,sqrt,2,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9639859277983683,0.9634623703908459,0.9624182850587436,0.9651238781314816,0.9637476153448599,0.0009745993762456174,34
1,Random Forest,1568.5971745848656,8.343990964252118,7.909724175930023,1.1764316329721247,20,sqrt,2,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9638998878531582,0.9641443042093365,0.9626690344353376,0.9651414492183567,0.9639636689290473,0.0008803326093465155,29
1,Random Forest,1957.381442785263,9.583631820384102,9.413451254367828,0.6694025566803314,20,sqrt,2,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9640359598596375,0.9636368549797406,0.9627130519025613,0.9650108937258725,0.9638491901169529,0.0008246718232811031,32
