outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__linear_svm__C,param_model__rbf_features__gamma,param_model__rbf_features__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,Approx RBF SVM,299.34574806690216,7.216051724752694,1.7888965606689453,0.17223467779686916,0.5,0.0005,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9010163904634243,0.9017859781665154,0.9044275384716343,0.9063902714597335,0.9034050446403269,0.002137996598560244,32
1,Approx RBF SVM,509.51742511987686,10.278156674276037,4.157781898975372,0.7845556221557466,0.5,0.0005,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9026994937607301,0.9025528165913256,0.905510365691124,0.9068293954206348,0.9043980178659536,0.0018329393318849143,31
1,Approx RBF SVM,300.9978370666504,7.284315108060262,2.169255316257477,0.4480726968355994,0.5,0.001,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9147563593909246,0.9140731005373683,0.915785437988618,0.9176953344096179,0.9155775580816322,0.0013661945709906634,28
1,Approx RBF SVM,505.31094467639923,9.201639170580346,4.595370352268219,0.5919778570674609,0.5,0.001,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.916242170256808,0.9162277455724275,0.9180767246760564,0.9197614395210133,0.9175770200065763,0.001468311847399723,27
1,Approx RBF SVM,305.3126096725464,3.203830391725567,2.2240527868270874,0.351100652503394,0.5,0.003,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9314086009465256,0.930066576008773,0.9317508389368853,0.9324196628710726,0.9314114196908141,0.0008573756775163665,24
1,Approx RBF SVM,509.17208844423294,9.675922178415034,4.683057188987732,0.3467154135793857,0.5,0.003,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9355665627818867,0.9340530149132182,0.9352704156877956,0.936601064087626,0.9353727643676316,0.0009080875373820857,20
1,Approx RBF SVM,298.0694517493248,3.558196257803042,2.3227845430374146,0.30239513168174503,0.5,0.01,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9352607142662236,0.9340778537417592,0.9335919177080997,0.9351814249717039,0.9345279776719466,0.0007146180970625377,22
1,Approx RBF SVM,489.83806097507477,11.481684060986234,4.661190330982208,0.26547310770324034,0.5,0.01,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.943003034923975,0.9404513299598389,0.9387031023990117,0.9423507092975465,0.941127044145093,0.0016843975967930345,14
1,Approx RBF SVM,334.9565682411194,7.798505607716501,2.033793091773987,0.4539110057248299,1.0,0.0005,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9119990062679068,0.9123089473003982,0.9139054113943357,0.9156947725859114,0.913477034387138,0.0014706175694279425,30
1,Approx RBF SVM,541.7098188996315,12.285677747906359,4.373760521411896,1.0614335603433258,1.0,0.0005,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9128856265665211,0.9133703683597556,0.9151412727161972,0.9164638175120524,0.9144652712886315,0.0014269946398789667,29
1,Approx RBF SVM,327.4550629854202,8.535696855892352,1.9848201274871826,0.35659369701890825,1.0,0.001,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9240150168239374,0.9229935062001032,0.9265067652540107,0.9262974017507092,0.9249531725071901,0.0014950778243335845,26
1,Approx RBF SVM,532.613277554512,4.168516579590756,3.999439001083374,0.6078380208410701,1.0,0.001,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9259181948161918,0.9261956429179704,0.9285779400406569,0.9286935044758023,0.9273463205626553,0.0012937728958480935,25
1,Approx RBF SVM,328.56584334373474,2.1755727398352525,2.228019118309021,0.587639492473684,1.0,0.003,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.93914752222319,0.9376478127954452,0.9370831152769489,0.9398659188224054,0.9384360922794973,0.0011183098655996044,18
1,Approx RBF SVM,553.168204843998,12.033861392245926,4.416013479232788,0.3583101350980795,1.0,0.003,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9442846635450495,0.9413353140539648,0.9409120626468804,0.9436186451666295,0.942537671353131,0.0014412453681443042,13
1,Approx RBF SVM,327.8052508234978,7.623462220105651,2.2693527936935425,0.2641355975354661,1.0,0.01,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9408559493750835,0.9391155623670943,0.9376055143776252,0.9400969779933461,0.9394185010282874,0.0012150392143617395,17
1,Approx RBF SVM,521.8447926044464,8.902114262179245,3.87481427192688,0.19124897767681903,1.0,0.01,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9481117304374913,0.9454440445285981,0.9441427421607167,0.9473889026518828,0.9462718549446721,0.0015693413221017564,10
1,Approx RBF SVM,388.26004099845886,8.876481231090661,2.2164371609687805,0.5312758666932765,5.0,0.0005,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9326872952954853,0.930998166629429,0.9325290254858717,0.9344691960107894,0.9326709208553938,0.0012300714057704239,23
1,Approx RBF SVM,654.1400822997093,13.865870303622248,4.860906302928925,0.2987613203402686,5.0,0.0005,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9345453418834153,0.9331191006901471,0.9348614929347374,0.9358792446526982,0.9346012950402496,0.0009875334175977115,21
1,Approx RBF SVM,396.48755794763565,8.432212684836399,1.909222662448883,0.3239180080733587,5.0,0.001,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9408930635085073,0.9392597016815777,0.9398833847664506,0.9425559072152979,0.9406480142929584,0.001246211733703449,15
