outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Decision Tree,16.707260847091675,0.3734309668241183,0.1258028745651245,0.00653651887489886,gini,,1,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.926387796377862,0.924610324064083,0.9266026942291339,0.9254300399236765,0.9257577136486888,0.0007960636525833001,40
2,Decision Tree,17.15786349773407,0.30634959408908846,0.12945818901062012,0.004822104990172521,gini,,1,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9236674103611413,0.9236936118389658,0.9274113058177336,0.924892145579535,0.924916118399344,0.0015231816211321383,53
2,Decision Tree,17.55841988325119,0.47012180576277957,0.13481014966964722,0.006105021665737173,gini,,1,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9239828783242221,0.9237370052321647,0.9264365389089011,0.9222026892955614,0.9240897779402124,0.0015169267210690931,71
2,Decision Tree,17.48172926902771,0.4879042192291243,0.13334107398986816,0.004488671114549345,gini,,2,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9257728406203685,0.9231380034946238,0.9263133485609804,0.9240167292808285,0.9248102304892003,0.0012856875097994483,56
2,Decision Tree,17.67578500509262,0.43631877042215245,0.13540995121002197,0.012940934131430782,gini,,2,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9251176563112348,0.9239476024647958,0.9283106538469978,0.9250575187391336,0.9256083578405405,0.001628244747502818,42
2,Decision Tree,17.710673213005066,0.2434630597050846,0.12862563133239746,0.011503583921119383,gini,,2,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9252178252308606,0.9240682725102007,0.9271975795082614,0.9240277145706174,0.925127847954985,0.0012869419372481367,48
2,Decision Tree,16.562515377998352,0.37249769633464325,0.13745909929275513,0.009860938574568193,gini,,5,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,16.27526968717575,0.17904167087224393,0.12511074542999268,0.007734774142296,gini,,5,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,16.479691803455353,0.24372661820588426,0.12960422039031982,0.0022403199187329436,gini,,5,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,16.588349640369415,0.11736834681365271,0.12648135423660278,0.003237034240512627,gini,20,1,2,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9264323702572577,0.9256149301311054,0.9287827281331222,0.9263085883236868,0.9267846542112931,0.0011949159525336752,37
2,Decision Tree,16.71722650527954,0.2004072600137643,0.13759148120880127,0.004423890154500833,gini,20,1,5,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.925871196868703,0.9237212794715037,0.9273268403077805,0.9252444472139563,0.9255409409654859,0.0012939843430076153,45
2,Decision Tree,16.684172332286835,0.3215068317620258,0.1325550079345703,0.005859176685568545,gini,20,1,10,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9257056469278703,0.923543717411091,0.9281965036836753,0.9241032521375322,0.9253872800400422,0.0018055847928373921,47
2,Decision Tree,16.712161421775818,0.21584981846788728,0.1316053867340088,0.0035913627447351337,gini,20,2,2,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9249892211105517,0.9243976515504408,0.9271838803105651,0.925704783751409,0.9255688841807417,0.001040970261567978,44
2,Decision Tree,16.577310800552368,0.2674771490570442,0.1293906569480896,0.009268923328184187,gini,20,2,5,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9264995298002329,0.924744883143245,0.9273812142863987,0.9253436208369544,0.9259923120167078,0.0010201958679238105,39
2,Decision Tree,16.69062876701355,0.17986170660007497,0.1272491216659546,0.004885390946818059,gini,20,2,10,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9249725573096015,0.9239421401107132,0.9262395973344784,0.9245860850543932,0.9249350949522965,0.0008382865142048993,52
2,Decision Tree,16.10017955303192,0.3518517894327404,0.13241803646087646,0.00858814519283515,gini,20,5,2,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9246047180320001,0.9242919999737771,0.9272121606786842,0.9223777895691587,0.9246216670634051,0.0017215262878937114,64
2,Decision Tree,16.305760502815247,0.25333054216896345,0.12886488437652588,0.008561014584625827,gini,20,5,5,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9246047180320001,0.9242919999737771,0.9272121606786842,0.9223777895691587,0.9246216670634051,0.0017215262878937114,64
2,Decision Tree,15.97238802909851,0.2800374716387626,0.130967915058136,0.00868146688437359,gini,20,5,10,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9246047180320001,0.9242919999737771,0.9272121606786842,0.9223777895691587,0.9246216670634051,0.0017215262878937114,64
2,Decision Tree,18.000171422958374,0.2532119164444471,0.12399041652679443,0.0023742498097884526,gini,30,1,2,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9263539400771824,0.9251571210952411,0.9269721741762038,0.9256630479149255,0.9260365708158882,0.0006872095867597865,38
2,Decision Tree,17.917867243289948,0.2798774725609306,0.13741534948349,0.00810493767868077,gini,30,1,5,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.923944973709398,0.9245681443183865,0.9270290848035689,0.9241130665018502,0.9249138173333009,0.0012423471903679375,55
2,Decision Tree,17.809459030628204,0.3408059828071363,0.13168209791183472,0.008597183148353709,gini,30,1,10,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9242218104765798,0.924161895618303,0.9268049996766271,0.9230109228617928,0.9245499071583256,0.0013885347779977854,67
2,Decision Tree,17.49448013305664,0.1818486693731565,0.12109524011611938,0.004019646779947371,gini,30,2,2,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9248229070178872,0.9239495947331119,0.9276009052419957,0.9237054266413659,0.9250197084085902,0.0015470768987245781,51
