outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Random Forest,321.50337767601013,3.138188944906625,2.901563346385956,0.39434526707419276,20,log2,1,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9659922140081204,0.9654951729162901,0.9664573520028903,0.9653764304429462,0.9658302923425617,0.0004294525867822755,15
2,Random Forest,520.3863849639893,5.97824907640783,4.026265621185303,0.28834595665221346,20,log2,1,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9667118460436689,0.9658298246329314,0.9661350427899497,0.9652022898070646,0.9659697508184036,0.0005446564285229348,13
2,Random Forest,651.4134566187859,9.872858817580926,5.406352162361145,0.3729230168113976,20,log2,1,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9670382424093528,0.9656134449574465,0.9662921153288208,0.9647274875096521,0.9659178225513181,0.000852199943182079,14
2,Random Forest,318.5774548649788,3.305533991083571,2.9637224674224854,0.3984251168802385,20,log2,2,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9645925942138773,0.9633905151756301,0.9652425549326937,0.9636338278492106,0.9642148730428529,0.0007443088673483948,33
2,Random Forest,519.6638868451118,4.885889892340616,4.501496255397797,0.38578622402094664,20,log2,2,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9651159299973353,0.9638997203725759,0.9649218666321856,0.9637373248462673,0.964418710462091,0.0006068192239656174,31
2,Random Forest,641.7489864826202,9.597318168473764,4.878616511821747,0.4007696694010076,20,log2,2,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9648604083007413,0.963825721953464,0.9650498039073554,0.9634761051938316,0.9643030098388481,0.0006670774774272317,32
2,Random Forest,474.5831382870674,3.9703916133510684,2.573094367980957,0.258750699136492,20,sqrt,1,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9657044261003294,0.9649299847921575,0.9666116977112453,0.9650364609763857,0.9655706423950294,0.0006703518112467023,17
2,Random Forest,789.0112661719322,4.886563299018678,3.8790178298950195,0.3908322158537705,20,sqrt,1,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9654013570520589,0.9650935113910415,0.9668115800827226,0.9649875695112942,0.9655735045092793,0.0007307836697689572,16
2,Random Forest,980.3608505725861,9.628732649002975,4.815553665161133,0.17569682804287393,20,sqrt,1,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9654113207076432,0.9647704426056052,0.9667195685449197,0.9650990941338039,0.965500106497993,0.0007396267492035668,18
2,Random Forest,490.889428794384,7.889392495186305,2.4097824096679688,0.19587063117990944,20,sqrt,2,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9645629640180877,0.9631309566044531,0.9654982835946355,0.96360118383878,0.9641983470139891,0.0009108659091183105,36
2,Random Forest,788.3385077118874,9.61968969372962,4.13480007648468,0.14854738550212165,20,sqrt,2,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9645240597224498,0.9633458027515687,0.965295882835762,0.9636839305939506,0.9642124189759327,0.0007585079994085162,34
2,Random Forest,985.4518985748291,3.9865103096802414,4.842037737369537,0.30435501006163007,20,sqrt,2,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9642200628746314,0.9634576102773063,0.9654269200435723,0.9637094369589795,0.9642035075386223,0.0007578721360701057,35
2,Random Forest,346.35661220550537,3.824601898852589,2.7258418798446655,0.12858253053669674,30,log2,1,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9669321131923491,0.9656528526954431,0.9664761625745069,0.9658606048342425,0.9662304333241354,0.0005057444998518287,7
2,Random Forest,544.9520812034607,2.4347212763291424,4.454156577587128,0.5061631121134749,30,log2,1,800,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9668860771311812,0.9657059152098774,0.9665700969166138,0.965582186061056,0.966186068829682,0.0005551376159510577,9
2,Random Forest,686.8578174710274,4.87687148116558,5.438220024108887,0.6641619665041758,30,log2,1,1000,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9672817416568051,0.9660372216702887,0.966720255132112,0.9654487112349973,0.9663719824235508,0.000691637584208242,1
2,Random Forest,340.74132537841797,5.475188251987133,2.447741985321045,0.15051062792675357,30,log2,2,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9654802412067973,0.9642355680872783,0.965569461866544,0.9644121087654107,0.9649243449815076,0.0006045651246466092,20
2,Random Forest,534.8083534240723,6.095457298048684,4.069645047187805,0.5751606790200903,30,log2,2,800,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9655259555385793,0.9645769135332366,0.9653589192354258,0.964316153649891,0.9649444854892832,0.0005098462492350499,19
2,Random Forest,668.1274842619896,3.3110366812483436,4.849640488624573,0.5100134396968912,30,log2,2,1000,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9654908006145805,0.9646673030795667,0.9654944548599134,0.9639727695955644,0.9649063320374063,0.0006356425189446704,22
2,Random Forest,507.07512617111206,2.4307888446521826,2.5594639778137207,0.18732307335337384,30,sqrt,1,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9665530151880051,0.9655579089448852,0.9673335542512862,0.965298245241107,0.966185680906321,0.000811508993486935,10
2,Random Forest,797.4716404080391,5.869336047255562,3.907590091228485,0.3457955495328795,30,sqrt,1,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9664877857179575,0.9655530656236345,0.967646528040705,0.9654370695500802,0.9662811122330943,0.0008873463491379741,4
2,Random Forest,1022.8110902905464,10.647040575241725,5.212533950805664,0.27856905713463553,30,sqrt,1,1000,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9670500475970575,0.9655030078390953,0.9674860771362199,0.9648996259289784,0.9662346896253378,0.0010663644585804787,6
2,Random Forest,497.3116291165352,5.728793728751702,2.5689240097999573,0.13091045741171065,30,sqrt,2,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9648112036245009,0.9637823504420039,0.9659904179247787,0.963874826710568,0.964614699675463,0.0008904257063492418,27
2,Random Forest,808.8222762942314,2.9924330554185254,3.899876058101654,0.42877383469565455,30,sqrt,2,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9650101888979165,0.9637266931542798,0.9656296270679975,0.9636681041305502,0.964508653312686,0.0008405511168681877,29
2,Random Forest,987.8486819267273,8.72343937712788,4.547520756721497,0.24697588933500605,30,sqrt,2,1000,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9650225631234919,0.9641962681598885,0.9656258810186995,0.9639584446938758,0.9647007892489889,0.000664257137062166,25
2,Random Forest,340.1487201452255,2.6640093105997837,2.630326747894287,0.16951937143998205,,log2,1,500,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9670364834889831,0.9658821845620079,0.9666330804608738,0.9655343840189275,0.9662715331326981,0.0005938953282192729,5
2,Random Forest,553.5454469919205,4.818928468558487,4.0417686104774475,0.3873514575757216,,log2,1,800,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9671453702272687,0.966260908273682,0.9665745917668462,0.9653629185066771,0.9663359471936185,0.000645083821074942,2
2,Random Forest,689.3314591646194,5.889125887009778,5.145653426647186,0.5358707816144381,,log2,1,1000,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9673227143834188,0.9658424557977209,0.966533555409132,0.9655784496269644,0.966319293804309,0.0006761999470413094,3
2,Random Forest,347.98171961307526,6.700898328978317,2.632418155670166,0.047945792625169015,,log2,2,500,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9654930614649738,0.9642907114023607,0.9655633477621918,0.9642044294567171,0.964887887521561,0.0006415248011967448,23
2,Random Forest,549.8612593412399,5.1890238255046555,3.9387559294700623,0.49617917316546756,,log2,2,800,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9655855299544048,0.9643999438556244,0.9654067504238866,0.9643045424065517,0.964924191660117,0.000576418306861785,21
2,Random Forest,661.7988479137421,6.458464066503068,4.197438180446625,0.12025259702989453,,log2,2,1000,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9654185830233808,0.9644365708974239,0.9654696710246414,0.9640833777736338,0.96485205067977,0.0006053708105208021,24
2,Random Forest,497.62890154123306,3.4392943442917736,2.4235846400260925,0.1777531924691816,,sqrt,1,500,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9668441897455613,0.965544937212807,0.967247609021302,0.9650387411231305,0.9661688692757002,0.0009063964414222021,11
2,Random Forest,759.8854633569717,4.74350000648361,3.397690773010254,0.23364714295417457,,sqrt,1,800,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9667698206282338,0.965585533074678,0.9674839213030035,0.9649179675394118,0.9661893106363317,0.0009992333615078325,8
2,Random Forest,907.027580678463,4.875782349014858,3.7359108328819275,0.3012321908471088,,sqrt,1,1000,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9668589967282201,0.965380716998966,0.9674975368085945,0.9646652272553914,0.966100619447793,0.0011297261276755587,12
2,Random Forest,474.7113288640976,3.0999516755744763,2.1480641961097717,0.14034501651490658,,sqrt,2,500,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9646915850034941,0.9637814638828235,0.9659763422651219,0.9636274652768286,0.9645192141070671,0.0009344016219664673,28
2,Random Forest,689.469620347023,1.627856245901934,2.6043110489845276,0.3597989757066227,,sqrt,2,800,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9649464309783423,0.9639558126647612,0.9656314260709222,0.9632364158206056,0.9644425213836578,0.0009163780935413511,30
2,Random Forest,791.6038016080856,0.3185733028040648,2.988616466522217,0.05331672624055587,,sqrt,2,1000,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9649215592204535,0.9642516543537696,0.9658272495846908,0.9634793593429792,0.9646199556254733,0.0008638763133177553,26
